Signatur;Titel;Spalte2
 Cod. 12053;Litterae annuae provinciae Austriae Societatis Iesu a. 1656;Cod.
 Cod. 12054;Litterae annuae provinciae Austriae Societatis Iesu a. 1657;Cod.
 Cod. 12055;Litterae annuae provinciae Austriae Societatis Iesu a. 1658;Cod.
 Cod. 12056;Litterae annuae provinciae Austriae Societatis Iesu a. 1659;Cod.
 Cod. 12057;Litterae annuae provinciae Austriae Societatis Iesu a. 1660;Cod.
 Cod. 12058;Litterae annuae provinciae Austriae Societatis Iesu a. 1661;Cod.
 Cod. 12059;Litterae annuae provinciae Austriae Societatis Iesu a. 1662;Cod.
 Cod. 12060;Litterae annuae provinciae Austriae Societatis Iesu a. 1663;Cod.
 Cod. 12061;Litterae annuae provinciae Austriae Societatis Iesu a. 1664;Cod.
 Cod. 12062;Litterae annuae provinciae Austriae Societatis Iesu a. 1665;Cod.
 Cod. 12063;Litterae annuae provinciae Austriae Societatis Iesu a. 1666;Cod.
 Cod. 12064;Litterae annuae provinciae Austriae Societatis Iesu a. 1667;Cod.
 Cod. 12065;Litterae annuae provinciae Austriae Societatis Iesu a. 1668;Cod.
 Cod. 12066;Litterae annuae provinciae Austriae Societatis Iesu a. 1669;Cod.
 Cod. 12067;Litterae annuae provinciae Austriae Societatis Iesu a. 1670;Cod.
 Cod. 12068;Litterae annuae provinciae Austriae Societatis Iesu a. 1671;Cod.
 Cod. 12069;Litterae annuae provinciae Austriae Societatis Iesu a. 1672;Cod.
 Cod. 12070;Litterae annuae provinciae Austriae Societatis Iesu a. 1673;Cod.
 Cod. 12071;Litterae annuae provinciae Austriae Societatis Iesu a. 1674;Cod.
 Cod. 12072;Litterae annuae provinciae Austriae Societatis Iesu a. 1675;Cod.
 Cod. 12073;Litterae annuae provinciae Austriae Societatis Iesu a. 1676;Cod.
 Cod. 12074;Litterae annuae provinciae Austriae Societatis Iesu a. 1677;Cod.
 Cod. 12075;Litterae annuae provinciae Austriae Societatis Iesu a. 1678;Cod.
 Cod. 12076;Litterae annuae provinciae Austriae Societatis Iesu a. 1679;Cod.
 Cod. 12077;Litterae annuae provinciae Austriae Societatis Iesu a. 1680;Cod.
 Cod. 12078;Litterae annuae provinciae Austriae Societatis Iesu a. 1681;Cod.
 Cod. 12079;Litterae annuae provinciae Austriae Societatis Iesu a. 1682;Cod.
 Cod. 12080;Litterae annuae provinciae Austriae Societatis Iesu a. 1683;Cod.
 Cod. 12081;Litterae annuae provinciae Austriae Societatis Iesu a. 1684;Cod.
 Cod. 12082;Litterae annuae provinciae Austriae Societatis Iesu a. 1685;Cod.
 Cod. 12083;Litterae annuae provinciae Austriae Societatis Iesu a. 1686;Cod.
 Cod. 12084;Litterae annuae provinciae Austriae Societatis Iesu a. 1687;Cod.
 Cod. 12085;Litterae annuae provinciae Austriae Societatis Iesu a. 1688;Cod.
 Cod. 12086;Litterae annuae provinciae Austriae Societatis Iesu a. 1689;Cod.
 Cod. 12087;Litterae annuae provinciae Austriae Societatis Iesu a. 1690;Cod.
 Cod. 12087;Litterae annuae provinciae Austriae Societatis Iesu a. 1691;Cod.
 Cod. 12088;Litterae annuae provinciae Austriae Societatis Iesu a. 1692;Cod.
 Cod. 12089;Litterae annuae provinciae Austriae Societatis Iesu a. 1693;Cod.
 Cod. 12090;Litterae annuae provinciae Austriae Societatis Iesu a. 1694;Cod.
 Cod. 12091;Litterae annuae provinciae Austriae Societatis Iesu a. 1695;Cod.
 Cod. 12092;Litterae annuae provinciae Austriae Societatis Iesu a. 1696;Cod.
 Cod. 12093;Litterae annuae provinciae Austriae Societatis Iesu a. 1697;Cod.
 Cod. 12094;Litterae annuae provinciae Austriae Societatis Iesu a. 1698;Cod.
 Cod. 12095;Litterae annuae provinciae Austriae Societatis Iesu a. 1700;Cod.
